,Target,Model,Precision,Recall,F1-Score,Accuracy,Micro F1,Macro F1,Weighted F1
0,w08chronic_a,Random Forest,0.7682363896249952,0.7472406181015453,0.7443235968219802,0.7472406181015453,0.7472406181015453,0.7453041081764558,0.7443235968219802
1,w08chronic_a,Decision Tree,0.6823670264388341,0.6799116997792495,0.6799413364294005,0.6799116997792495,0.6799116997792495,0.6799101399555573,0.6799413364294005
2,w08chronic_b,Random Forest,0.7250706832660475,0.7715231788079471,0.6891681420131717,0.7715231788079471,0.7715231788079471,0.4787531788935366,0.6891681420131717
3,w08chronic_b,Decision Tree,0.7265126426360163,0.7218543046357616,0.7240988086196108,0.7218543046357616,0.7218543046357616,0.6145670142077684,0.7240988086196108
4,w08chronic_c,Random Forest,0.8596114205517301,0.9271523178807947,0.8921053230468128,0.9271523178807947,0.9271523178807947,0.48109965635738833,0.8921053230468128
5,w08chronic_c,Decision Tree,0.8819023778591573,0.8785871964679912,0.8802277948591123,0.8785871964679912,0.8785871964679912,0.5627720061771726,0.8802277948591123
6,w08chronic_d,Random Forest,0.9412854699355291,0.9701986754966887,0.9555234014135456,0.9701986754966887,0.9701986754966887,0.492436974789916,0.9555234014135456
7,w08chronic_d,Decision Tree,0.9492767615435205,0.9370860927152318,0.942955330937487,0.9370860927152318,0.9370860927152318,0.5582944874481461,0.942955330937487
8,w08chronic_e,Random Forest,0.9434284071361392,0.9713024282560706,0.9571625272848177,0.9713024282560706,0.9713024282560706,0.49272116461366183,0.9571625272848177
9,w08chronic_e,Decision Tree,0.9521312018336711,0.9448123620309051,0.948365538722066,0.9448123620309051,0.9448123620309051,0.5690639269406392,0.948365538722066
10,w08chronic_f,Random Forest,0.7993070479364941,0.8940397350993378,0.8440235261427315,0.8940397350993378,0.8940397350993378,0.47202797202797203,0.8440235261427315
11,w08chronic_f,Decision Tree,0.840688276551525,0.8399558498896247,0.8403210451871399,0.8399558498896247,0.8399558498896247,0.5795716027612516,0.8403210451871399
12,w08chronic_g,Random Forest,0.9508207329699739,0.9481236203090507,0.9249120725266989,0.9481236203090507,0.9481236203090507,0.525870995757758,0.9249120725266989
13,w08chronic_g,Decision Tree,0.9137856529376197,0.9061810154525386,0.9098790575929219,0.9061810154525386,0.9061810154525386,0.5778770521007482,0.9098790575929219
14,w08chronic_h,Random Forest,0.9031292487171615,0.9503311258278145,0.9261291446946783,0.9503311258278145,0.9503311258278145,0.4872665534804754,0.9261291446946783
15,w08chronic_h,Decision Tree,0.9243161178087755,0.9161147902869757,0.9200640589218295,0.9161147902869757,0.9161147902869757,0.597803738317757,0.9200640589218295
16,w08chronic_i,Random Forest,0.7606437523456593,0.7748344370860927,0.7562159076146533,0.7748344370860927,0.7748344370860927,0.6817417897288958,0.7562159076146533
17,w08chronic_i,Decision Tree,0.7241302102286967,0.7284768211920529,0.7261241721854305,0.7284768211920529,0.7284768211920529,0.66025,0.7261241721854305
18,w08chronic_k,Random Forest,0.9715083159120701,0.9856512141280354,0.9785286650542919,0.9856512141280354,0.9856512141280354,0.4963868816008894,0.9785286650542919
19,w08chronic_k,Decision Tree,0.9751433972973869,0.9713024282560706,0.9731833914321036,0.9713024282560706,0.9713024282560706,0.559371492704826,0.9731833914321036
20,w08chronic_l,Random Forest,0.9736853646769879,0.9867549668874173,0.980176600441501,0.9867549668874173,0.9867549668874173,0.49666666666666665,0.980176600441501
21,w08chronic_l,Decision Tree,0.9827444293967555,0.9679911699779249,0.9744735190087139,0.9679911699779249,0.9679911699779249,0.6381539987054303,0.9744735190087139
22,w08chronic_m,Random Forest,0.9879100001953546,0.9911699779249448,0.9885356716721425,0.9911699779249448,0.9911699779249448,0.5977802441731409,0.9885356716721425
23,w08chronic_m,Decision Tree,0.9945117941421653,0.9944812362030905,0.9932346323975698,0.9944812362030905,0.9944812362030905,0.7713391550148907,0.9932346323975698
